,INSTNM,MD_FAMINC,RPY_3YR_RT,SAT_AVG,ACTCMMID
3360,Tennessee College of Applied Technology-Elizabethton,15005,,,
3361,Fayetteville College of Cosmetology Arts and Sciences,14180,0.3295454545,,
3362,Fisk University,30520,0.3992932862,926.0,20.0
3363,Welch College,44611,0.5615384615,,
3364,Freed-Hardeman University,62772,0.6715328467,1098.0,24.0
3365,Tennessee College of Applied Technology-Harriman,16908,,,
3366,Tennessee College of Applied Technology-Hartsville,22347,,,
3367,Hiwassee College,33048,0.4591194969,891.0,19.0
3368,Tennessee College of Applied Technology-Hohenwald,19366.5,,,
3369,Tennessee College of Applied Technology-Jacksboro,11756.5,,,
3370,Jackson State Community College,18436,PrivacySuppressed,,
3371,John A Gupton College,27290,0.475,790.0,17.0
3372,Johnson University,50581,0.6151960784,1025.0,22.0
3373,Paul Mitchell the School-Murfreesboro,23696,0.3699115044,,
3374,King University,35279,0.5974607916,,
3375,South College,22714.5,0.3308411215,,
3376,Lane College,17096,0.1290726817,740.0,15.0
3377,Le Moyne-Owen College,17003.5,0.1638830898,760.0,16.0
3378,Lee University,49230,0.5772151899,1107.0,25.0
3379,Lincoln Memorial University,32034,0.5920608108,1008.0,22.0
3380,Tennessee College of Applied Technology-Livingston,19661,,,
3381,Martin Methodist College,29930,0.4334705075,,
3382,Maryville College,44952,0.6951423786,1087.0,24.0
3383,Tennessee College of Applied Technology-McKenzie,12285.5,,,
3384,Genesis Career College-Cookeville,17621,0.2368421053,,
3385,Meharry Medical College,PrivacySuppressed,,,
3386,Memphis College of Art,25871,0.3502538071,957.0,20.0
3387,Tennessee College of Applied Technology-Memphis,14222,,,
3388,University of Memphis,28800,0.3843884729,1011.0,22.0
3389,Memphis Theological Seminary,,,,
3390,Middle Tennessee State University,35325,0.4965388711,1030.0,22.0
3391,Middle Tennessee School of Anesthesia Inc,,,,
3392,Tennessee College of Applied Technology-Morristown,16752,,,
3393,Motlow State Community College,26000,0.4924078091,,
3394,Tennessee College of Applied Technology-Murfreesboro,21801,,,
3395,Lincoln College of Technology-Nashville,24468,0.407195572,,
3396,Nashville College of Medical Careers,10862,0.2676056338,,
3397,Nashville State Community College,21730,0.310042735,,
3398,Tennessee College of Applied Technology-Newbern,16579,,,
3399,O'More College of Design,42958,0.59,950.0,20.0
3400,Tennessee College of Applied Technology-Paris,14098,,,
3401,Tennessee College of Applied Technology-Pulaski,20078,,,
3402,Rhodes College,108000,0.8389830508,1291.0,29.0
3403,Tennessee College of Applied Technology-Ripley,14176,,,
3404,Roane State Community College,23549,0.4248159832,930.0,20.0
3405,Tennessee College of Applied Technology-Crump,14073,,,
3406,Southwest Tennessee Community College,17120,PrivacySuppressed,,
3407,Tennessee College of Applied Technology-Shelbyville,23170,,,
3408,Sewanee-The University of the South,79417,0.8262295082,,
3409,Tennessee College of Applied Technology-Oneida-Huntsville,13967,,,
3410,Tennessee College of Applied Technology-Crossville,15827,,,
3411,Tennessee College of Applied Technology-McMinnville,17813,,,
3412,Tennessee College of Applied Technology-Jackson,16001,,,
3413,Tennessee College of Applied Technology-Knoxville,15934.5,,,
3414,Tennessee College of Applied Technology-Whiteville,16875,,,
3415,Pellissippi State Community College,25254,0.4026757608,,
3416,Southern Adventist University,50894,0.6267730496,,
3417,Southern College of Optometry,,PrivacySuppressed,,
3418,Tennessee Wesleyan University,39880,0.616519174,1019.0,22.0
3419,The University of Tennessee-Chattanooga,46549,0.5698408689,1088.0,24.0
3420,The University of Tennessee-Knoxville,54206,0.6843162577,1213.0,27.0
3421,The University of Tennessee-Martin,35300,0.5523928683,1050.0,23.0
3422,Fountainhead College of Technology,19991,0.3968253968,,
3423,Tennessee School of Beauty of Knoxville Inc,22736,0.5555555556,,
3424,Tennessee State University,25504,0.3065649468,,
3425,Tennessee Technological University,40770,0.637434227,1103.0,24.0
3426,Trevecca Nazarene University,40243,0.6678743961,1031.0,22.0
3427,Northeast State Community College,19461.5,0.3899848255,,
3428,Tusculum College,32826,0.5205585725,962.0,21.0
3429,Union University,39416,0.6617647059,1200.0,27.0
3430,Vanderbilt University,58118,0.8355029586,1495.0,34.0
3431,Volunteer State Community College,25592,0.4933904966,,
3432,Walters State Community College,20244,0.4841473865,,
3433,West Tennessee Business College,13524,0.1813186813,,
3434,William Moore College of Technology,16579,,,
3435,Abilene Christian University,67009,0.7013401404,1077.0,24.0
3436,Alvin Community College,22440.5,0.4983108108,,
3437,Amarillo College,24043,0.3949357521,,
3438,Amberton University,36196,,,
3439,Angelina College,20495.5,,,
3440,Angelo State University,41570,0.5468140442,979.0,21.0
3441,Arlington Baptist University,50138,0.3819444444,,
3442,Arlington Career Institute,16290,0.3303571429,,
3443,The Art Institute of Houston,22534.5,0.3474795776,,
3444,Austin College,54764,0.73,1195.0,26.0
3445,Austin Community College District,24990,0.4197421861,,
3446,Austin Presbyterian Theological Seminary,,,,
3447,Baldwin Beauty School-South Austin,22934,,,
3448,Baptist Health System School of Health Professions,33945,0.6257425743,,
3449,Baptist Missionary Association Theological Seminary,24193,PrivacySuppressed,,
3450,Baylor College of Medicine,PrivacySuppressed,,,
3451,Baylor University,80000,0.7243295482,1246.0,28.0
3452,Coastal Bend College,21471,0.3817966903,,
3453,Blinn College,34663,0.4658744668,,
3454,Remington College-Dallas Campus,13648,0.2589161649,,
3455,Vet Tech Institute of Houston,28513,0.5971563981,,
3456,Brazosport College,22271,0.4331550802,,
3457,Brookhaven College,23298,0.356561086,,
3458,Cedar Valley College,20195,0.1753183154,,
3459,Central Texas College,24911.5,0.3217274858,,
3460,Charles and Sues School of Hair Design,19826,0.4155844156,,
3461,Cisco College,26671,0.3668831169,,
3462,Clarendon College,22143,0.3801775148,,
3463,Concordia University Texas,40237.5,0.558531746,984.0,21.0
3464,Conlee's College of Cosmetology,13647.5,,,
3465,North Central Texas College,29229,0.4073431628,,
3466,Texas A & M University-Corpus Christi,37435.5,0.5176586812,953.0,20.0
3467,Cosmetology Career Center LLC,24337.5,0.4402116402,,
3468,Dallas Baptist University,43504,0.5489855072,1060.0,22.0
3469,Dallas Christian College,41225.5,0.4788732394,886.0,19.0
3470,Dallas Institute of Funeral Service,20090,0.4117647059,,
3471,Dallas Theological Seminary,,PrivacySuppressed,,
3472,University of Dallas,77741,0.75,1184.0,27.0
3473,Del Mar College,21574.5,0.41,,
3474,East Texas Baptist University,48655,0.5546975547,954.0,20.0
3475,Texas A&M University-Texarkana,27758,0.523099851,1016.0,21.0
3476,Texas A & M University-Commerce,31618,0.4657679091,973.0,21.0
3477,Eastfield College,22371,0.2280487805,,
3478,El Centro College,20053.5,0.2270854789,,
3479,El Paso Community College,18863,0.3754988029,,
3480,Western Technical College,20541,0.2934782609,,
3481,Western Technical College,20541,0.2934782609,,
3482,Episcopal Theological Seminary of the Southwest,,,,
3483,Exposito School of Hair Design,20470,0.5833333333,,
3484,South University-The Art Institute of Dallas,20000,0.2547585843,,
3485,Fort Worth Beauty School,12953,0.2830882353,,
3486,Frank Phillips College,25274,0.3573487032,,
3487,Galveston College,19105,0.2834224599,,
3488,Grayson College,23168.5,0.3543758967,,
3489,Hallmark University,26034,0.3445273632,,
3490,Hardin-Simmons University,53330,0.6398779247,1019.0,22.0
3491,Trinity Valley Community College,23216,0.3056925146,,
3492,Hill College,26206,0.2687793427,,
3493,Houston Baptist University,38544,0.5544840887,1057.0,24.0
3494,University of Houston-Clear Lake,25351,0.5573852295,1017.0,22.0
3495,Houston Community College,19771.5,0.2677953059,,
3496,University of Houston-Downtown,24909.5,0.4268054652,906.0,19.0
3497,University of Houston-Victoria,27090,0.4992679356,,
3498,University of Houston,33197.5,0.6189650689,1152.0,26.0
3499,Howard College,25011,0.4232209738,,
3500,Howard Payne University,48182.5,0.546969697,950.0,20.0
3501,Huston-Tillotson University,28322,0.294197031,787.0,16.0
3502,University of the Incarnate Word,36409,0.4689873418,893.0,19.0
3503,International Business College-El Paso,13966,0.1920152091,,
3504,Jacksonville College-Main Campus,23414,PrivacySuppressed,,
3505,Jarvis Christian College,18887.5,0.1748971193,,
3506,KD Conservatory College of Film and Dramatic Arts,23060,0.3301886792,,
3507,Kilgore College,21134.5,0.322007722,,
3508,Lamar University,35526,0.4398488765,960.0,21.0
3509,Lamar State College-Orange,21983.5,0.4062909567,,
3510,Lamar State College-Port Arthur,19989,0.3130287648,,
3511,Laredo Beauty College Inc,14157,,,
3512,Laredo Community College,17884,0.418699187,,
3513,Texas A & M International University,24539,0.5344603381,911.0,19.0
3514,Lee College,14166.5,0.377593361,,
3515,LeTourneau University,43984.5,0.5745762712,1150.0,25.0
3516,Lincoln College of Technology-Grand Prairie,24468,0.407195572,,
3517,Lubbock Hair Academy,15358,,,
3518,Lubbock Christian University,50954,0.5917986952,1034.0,22.0
3519,College of the Mainland,22108,0.2849604222,,
3520,University of Mary Hardin-Baylor,48296,0.5804560261,1051.0,24.0
3521,McLennan Community College,23435,0.3035648659,,
3522,McMurry University,39189,0.5298245614,938.0,20.0
3523,Covenant School of Nursing and Allied Health,31351,0.6891891892,,
3524,Midland College,22124,0.5336787565,,
3525,Midwestern State University,41159,0.5507070707,973.0,21.0
3526,Mims Classic Beauty College,9771.5,,,
3527,Wade College,24036,0.2444444444,,
3528,Southern Careers Institute-Austin,14258,0.1807856129,,
3529,Mountain View College,23736,0.1975446429,,
3530,Altierus Career College-San Antonio,14134.5,0.1771854175,,
3531,Tint School of Makeup and Cosmetology-Irving,18824,0.3851351351,,
3532,Navarro College,24997,0.2508850982,,
3533,Neilson Beauty College,14647,,,
3534,Lone Star College System,22787,0.2903759303,,
3535,North Lake College,21793,0.3175457481,,
3536,University of North Texas,40028,0.5486280601,1090.0,24.0
3537,Northeast Texas Community College,24579.5,0.2942408377,,
3538,Oblate School of Theology,,,,
3539,Ocean Corporation,21575,0.45,,
3540,Odessa College,22562.5,0.5066964286,,
3541,Ogle School Hair Skin Nails-Arlington,19379,0.3418693982,,
3542,Ogle School Hair Skin Nails-Ft Worth,18535,0.3288590604,,
3543,Our Lady of the Lake University,28529.5,0.4761476148,929.0,20.0
3544,The University of Texas Rio Grande Valley,21058,0.5068899355,950.0,20.0
3545,Texas Southmost College,18075,0.4091468777,,
3546,Panola College,21298.5,0.3687943262,,
3547,Paris Junior College,19204,0.3157232704,,
3548,Paul Quinn College,18000,0.2050209205,844.0,19.0
3549,Prairie View A & M University,28812,0.2880057458,838.0,17.0
3550,Ranger College,26073,0.3500678426,,
3551,Aviation Institute of Maintenance-Houston,22737,0.4071661238,,
3552,Rice University,65041,0.8716707022,1490.0,34.0
3553,Richland College,21106,0.2673992674,,
3554,Brightwood College-McAllen,15399,0.2298387097,,
3555,Saint Edward's University,48851,0.6283643892,1114.0,25.0
3556,St Philip's College,20835.5,0.3830409357,,
3557,University of St Thomas,35251.5,0.6183986371,1085.0,24.0
3558,Sam Houston State University,37602,0.5815793402,986.0,22.0
3559,San Antonio College,21534,0.380859375,,
3560,San Jacinto Community College,22004.5,0.3489971347,,
3561,Schreiner University,49706,0.6031746032,998.0,22.0
3562,Seguin Beauty School-Seguin,18515,0.3666666667,,
3563,St. Mary's University,37985,0.5333333333,1036.0,22.0
3564,South Plains College,25383.5,0.4022764228,,
3565,South Texas Barber College Inc,13958,,,
3566,South Texas College of Law Houston,,,,
3567,South Texas Vocational Technical Institute-Weslaco,13864,0.167611336,,
3568,South Texas Vocational Technical Institute-McAllen,16310,0.3413775767,,
3569,Southern Methodist University,67697,0.7501904037,1330.0,30.0
3570,Southwest School of Business and Technical Careers-San Antonio,12440,0.1746411483,,
3571,Southwest Texas Junior College,19535,0.3597811218,,
3572,Southwestern Assemblies of God University,35444,0.5294635004,980.0,22.0
3573,Southwestern University,74646,0.7441860465,1165.0,26.0
3574,Stephen F Austin State University,44426.5,0.5218332732,993.0,22.0
3575,Texas State University,42889,0.5704936576,1033.0,23.0
3576,Southwestern Adventist University,36174.5,0.5218295218,929.0,20.0
3577,Southwestern Christian College,20000,0.2058823529,,
3578,Sul Ross State University,26794.5,0.4396551724,855.0,18.0
3579,Tarleton State University,40809,0.5509441385,959.0,21.0
3580,Tarrant County College District,21937,0.3136991954,,
3581,Temple College,24785,0.2939017504,,
3582,University of Texas Southwestern Medical Center,4070,PrivacySuppressed,,
3583,The University of Texas Health Science Center at San Antonio,30474,0.8328025478,,
3584,The University of Texas Medical Branch,43436.5,0.8482632541,,
3585,Texarkana College,18353.5,0.2440801457,,
3586,Texas A & M University-Kingsville,28201,0.4809881847,952.0,20.0
3587,Texas A & M University-College Station,58904,0.8172941508,1205.0,27.0
3588,The University of Texas at Arlington,36453.5,0.5751619048,1070.0,23.0
3589,The University of Texas at Austin,53018,0.7677161698,1289.0,29.0
3590,The University of Texas at Dallas,36564,0.6474207288,1262.0,28.0
3591,The University of Texas at El Paso,23733,0.4604780574,927.0,20.0
3592,The University of Texas at Tyler,33582.5,0.5777777778,1050.0,23.0
3593,Texas Chiropractic College Foundation Inc,,PrivacySuppressed,,
3594,Texas Christian University,73000,0.7658067779,1223.0,28.0
3595,Texas College,18562,0.1821515892,,
3596,University of North Texas Health Science Center,PrivacySuppressed,,,
3597,Texas Lutheran University,62200,0.6877637131,973.0,21.0
3598,The University of Texas of the Permian Basin,34856,0.5969465649,953.0,20.0
3599,The University of Texas at San Antonio,36359.5,0.5473905724,1033.0,23.0
3600,Brightwood College-Houston,16039,0.2690870262,,
3601,Texas Southern University,22141,0.2743614002,814.0,17.0
3602,Texas Tech University,51321,0.65096517,1117.0,25.0
3603,Texas Wesleyan University,27493,0.4433164129,995.0,21.0
3604,Texas Woman's University,32124,0.546930281,944.0,20.0
3605,Trinity University,84259,0.8642857143,1282.0,29.0
3606,The University of Texas Health Science Center at Houston,34136.5,0.8590021692,,
3607,Texas Tech University Health Sciences Center,45987.5,0.7752707581,,
3608,Tyler Junior College,27160,0.3120615911,,
3609,Universal Technical Institute of Texas Inc.,29403,0.4871115819,,
3610,UCAS University of Cosemtology Arts & Sciences-McAllen,14312.5,0.3453355155,,
3611,Vernon College,25710.5,0.3775649795,,
3612,Victoria Beauty College Inc,11643.5,0.4622641509,,
3613,Victoria College,22254.5,0.397616468,,
3614,Vogue College of Cosmetology-McAllen,14099,0.2878787879,,
3615,Wayland Baptist University,32295,0.462751972,908.0,19.0
3616,Weatherford College,27894,0.3895196507,,
3617,West Texas A & M University,42482,0.5558343789,977.0,21.0
3618,Western Texas College,33609,0.4203821656,,
3619,Wharton County Junior College,31645,0.4124293785,,
3620,Wiley College,19123,0.2487100103,,
3621,AmeriTech College-Provo,34918,0.2773638968,,
3622,Bridgerland Technical College,20891.5,,,
3623,Brigham Young University-Provo,46790,0.8000703977,1293.0,29.0
3624,Brigham Young University-Hawaii,39517,0.7104930468,1096.0,24.0
3625,Broadview University-West Jordan,26923.5,0.3427895981,,
3626,Cameo College of Essential Beauty,24995,0.5286343612,,
3627,Sherman Kendall Academy-Salt Lake City,20000,0.5,,
3628,Collectiv Academy,15000,0.5555555556,,
3629,Davis Technical College,20391,,,
3630,Dixie State University,35331,0.5032051282,,
3631,Evans Hairstyling College-Cedar City,24656,0.4782608696,,
3632,Evans Hairstyling College-St George,28429,,,
3633,Paul Mitchell the School-Salt Lake City,24829.5,0.4013605442,,
3634,Eagle Gate College-Murray,22815,0.2944664032,,
3635,LDS Business College,27046,0.6621983914,,
3636,Ogden-Weber Technical College,19303.5,,,
3637,Snow College,41939,0.6532045654,,
3638,Southern Utah University,41064,0.6889400922,1065.0,23.0
3639,Stevens-Henager College,13120,0.20256745,,
3640,Stevens-Henager College,13120,0.20256745,,
3641,Uintah Basin Technical College,14137,,,
3642,Utah State University,42950.5,0.7044754038,1087.0,24.0
3643,Utah Valley University,31983,0.5938135219,,
3644,Salt Lake Community College,27276,0.5443344334,,
3645,University of Utah,38625,0.7180530045,1116.0,24.0
3646,Weber State University,35841,0.6274288933,,
3647,Westminster College,56805,0.726326743,1119.0,25.0
3648,Bennington College,75360.5,0.7366412214,,
3649,Castleton University,66456,0.7165957447,965.0,21.0
3650,Champlain College,58876,0.7388289676,1134.0,25.0
3651,Community College of Vermont,23004,0.4581447964,,
3652,Goddard College,17619,0.5610859729,,
3653,Green Mountain College,45624.5,0.6153846154,,
3654,Johnson State College,39363,0.5648574057,917.0,19.0
3655,Lyndon State College,50975.5,0.6379310345,945.0,19.0
3656,Marlboro College,47876,0.6518518519,,
3657,Middlebury College,57882,0.8765743073,1394.0,32.0
3658,New England Culinary Institute,34793,0.6413301663,,
3659,Norwich University,67624.5,0.7941976428,,
3660,O'Briens Aveda Institute,27935,0.5432098765,,
3661,Saint Michael's College,111919.5,0.8415841584,,
3662,SIT Graduate Institute,25113,PrivacySuppressed,,
3663,College of St Joseph,26570,0.4604316547,,
3664,Southern Vermont College,53843,0.5617977528,876.0,18.0
3665,Sterling College,27616,0.7384615385,,
3666,Vermont Law School,PrivacySuppressed,PrivacySuppressed,,
3667,Vermont Technical College,42873,0.7857802401,,
3668,University of Vermont,92817,0.8060367454,1216.0,28.0
3669,Paul Mitchell the School-Roanoke,18877.5,0.198019802,,
3670,Advanced Technology Institute,24670,0.3246268657,,
3671,Averett University,40149,0.5307760928,902.0,19.0
3672,Blue Ridge Community College,24958,0.4230769231,,
3673,Bluefield College,38217,0.502283105,903.0,19.0
3674,Bridgewater College,71045.5,0.7542579075,1022.0,23.0
3675,College of William and Mary,96498,0.8327922078,1360.0,31.0
3676,Regent University,28090.5,0.427027027,1032.0,22.0
3677,Central School of Practical Nursing,15882,,,
3678,Central Virginia Community College,22173,0.4320557491,,
3679,Christopher Newport University,97520.5,0.7633819951,1158.0,26.0
3680,Suffolk Beauty Academy,6027.5,PrivacySuppressed,,
3681,Bryant & Stratton College-Virginia Beach,15184,0.1873163434,,
3682,Bryant & Stratton College-Richmond,15184,0.1873163434,,
3683,Jefferson College of Health Sciences,40343,0.6512820513,,
3684,Dabney S Lancaster Community College,28756,0.4680851064,,
3685,Danville Community College,17993.5,0.3197556008,,
3686,Eastern Virginia Medical School,,PrivacySuppressed,,
3687,Centura College-Virginia Beach,14317,0.1454356126,,
3688,Emory & Henry College,53147.5,0.6430155211,1016.0,22.0
3689,Eastern Mennonite University,62190,0.7762478485,1049.0,24.0
3690,Eastern Shore Community College,18597,,,
3691,Ferrum College,35817.5,0.4706911636,865.0,18.0
3692,George Mason University,44254,0.7304276541,1165.0,27.0
3693,Germanna Community College,29160,0.3897810219,,
3694,Hampden-Sydney College,101025.5,0.7885117493,1122.0,25.0
3695,Hampton University,52556,0.427592955,973.0,22.0
3696,Hollins University,48958,0.5823389021,1146.0,26.0
3697,J Sargeant Reynolds Community College,19569,0.2796432319,,
3698,James Madison University,92165,0.8236451049,1125.0,25.0
3699,John Tyler Community College,25355,0.3418719212,,
3700,Everest College-Newport News,13890,0.1584699454,,
3701,Liberty University,31696.5,0.3670201517,1094.0,25.0
3702,Longwood University,72594,0.7379912664,970.0,21.0
3703,Lord Fairfax Community College,27629.5,0.4162962963,,
3704,University of Lynchburg,67259.5,0.6803205699,1023.0,22.0
3705,Centra College of Nursing,27508,0.7194244604,,
3706,Mary Baldwin University,32121,0.5070281124,983.0,22.0
3707,University of Mary Washington,80643,0.7416131335,1114.0,25.0
3708,Marymount University,46409,0.6582827407,970.0,21.0
3709,Danville Regional Medical Center School of Health Professions,39158,0.6304347826,,
3710,Mountain Empire Community College,14888,,,
3711,American National University,14666.5,0.1601953602,,
3712,New River Community College,25640,0.4238856182,,
3713,Sentara College of Health Sciences,47563,0.7534883721,,
3714,Tidewater Tech-Trades,14074.5,0.1833648393,,
3715,Norfolk State University,26072,0.2694580015,762.0,18.0
3716,Northern Virginia Community College,28572,0.4403313222,,
3717,Old Dominion University,38019.5,0.5244003309,1010.0,22.0
3718,Patrick Henry Community College,20870.5,,,
3719,Paul D Camp Community College,23206,,,
3720,Southside Regional Medical Center Professional Schools,31211,0.641025641,,
3721,Miller-Motte Technical College-Lynchburg,12000,0.1943711522,,
3722,Piedmont Virginia Community College,25941,0.4061433447,,
3723,Radford University,54745,0.6760445682,,
3724,Sylvain Melloul International Hair Academy,19394.5,0.2333333333,,
3725,Randolph-Macon College,88919,0.7290552585,1091.0,24.0
3726,Randolph College,61543,0.6483516484,1037.0,23.0
3727,Rappahannock Community College,19401,,,
3728,Fortis College-Norfolk,13130,0.2129380054,,
3729,Richard Bland College of William and Mary,31074,0.3890020367,,
3730,Bon Secours Memorial College of Nursing,43706.5,0.7050359712,,
3731,University of Richmond,73024,0.7628336756,1338.0,31.0
3732,Riverside College of Health Careers,30797,0.6015625,,
3733,Roanoke College,82237.5,0.7394209354,1091.0,24.0
3734,Bon Secours St Mary's Hospital School of Medical Imaging,36663.5,0.6333333333,,
3735,Shenandoah University,74547,0.6445544554,1009.0,22.0
3736,Southern Virginia University,55443,0.4630021142,993.0,21.0
3737,Southside Virginia Community College,19387,PrivacySuppressed,,
3738,Southwest Virginia Community College,14050,,,
3739,Staunton School of Cosmetology,23649,0.4375,,
3740,Strayer University-Virginia,18178,0.2382231351,,
3741,Sweet Briar College,41827,0.7176470588,1035.0,23.0
3742,Thomas Nelson Community College,23866,0.3009824352,,
3743,Tidewater Community College,23027,0.3191995245,,
3744,Union Presbyterian Seminary,,PrivacySuppressed,,
3745,The University of Virginia's College at Wise,35325,0.5604395604,963.0,21.0
3746,Virginia Highlands Community College,19517,,,
3747,Virginia Polytechnic Institute and State University,89378,0.8050476047,1210.0,
3748,Virginia Western Community College,23676,0.3604505632,,
3749,Virginia Commonwealth University,51128,0.5665124676,1094.0,24.0
3750,University of Virginia-Main Campus,75580,0.8572477064,1362.0,31.0
3751,Virginia Military Institute,99470,0.8394793926,1156.0,26.0
3752,Virginia School of Hair Design,9671,,,
3753,Virginia University of Lynchburg,17828,0.1059322034,,
3754,Virginia State University,30103,0.2720568151,817.0,17.0
3755,Virginia Union University,26681,0.1982378855,,
3756,Virginia Wesleyan University,47832,0.5751879699,959.0,21.0
3757,Washington and Lee University,115740,0.8793103448,1396.0,32.0
3758,Wilson Workforce and Rehabilitation Center,4438.5,,,
3759,Wytheville Community College,22241,0.5609756098,,
3760,Beauty Academy,19718.5,0.3173076923,,
3761,The Art Institute of Seattle,25852,0.4664202095,,
3762,Evergreen Beauty and Barber College-Bellevue,21737,0.595,,
3763,Bellevue College,23941,0.5121107266,,
3764,Bellingham Technical College,16695,0.4595959596,,
3765,Big Bend Community College,24000,0.3775216138,,
3766,Central Washington University,42459,0.6241699867,1043.0,21.0
3767,Centralia College,16369,,,
3768,City University of Seattle,32049,0.5297805643,,
3769,Paul Mitchell the School-Richland,26511,0.5638297872,,
3770,Clark College,21343,0.336906585,,
3771,Clover Park Technical College,19169,0.3358490566,,
3772,Columbia Basin College,24700,0.5164948454,,
3773,Cornish College of the Arts,58476,0.6731182796,,
3774,Divers Institute of Technology,25523,0.578553616,,
3775,Eastern Washington University,38218.5,0.6343534057,962.0,20.0
3776,Edmonds Community College,20771,0.419721871,,
3777,Everett Community College,22037.5,0.4280798348,,
3778,Paroba College of Cosmetology,19733,0.5478723404,,
3779,The Evergreen State College,22200,0.5498652291,1056.0,23.0
3780,Pierce College-Fort Steilacoom,26391.5,0.3720369626,,
3781,Glen Dow Academy of Hair Design,17442,0.4465648855,,
3782,Gonzaga University,110000,0.8463316002,1224.0,28.0
3783,Grays Harbor College,15233.5,0.314893617,,
3784,Green River College,22259.5,0.4034416826,,
3785,Toni & Guy Hairdressing Academy-Shoreline,27886,0.479338843,,
3786,Heritage University,26087,0.4213836478,,
3787,Highline College,18708,0.3512145749,,
3788,International Air and Hospitality Academy,18150.5,0.5499040307,,
3789,Bastyr University,18650.5,0.6,,
3790,Gene Juarez Academy of Beauty-Mountlake Terrace,25151,0.4674479167,,
3791,Bates Technical College,14702,0.4675159236,,
3792,Lake Washington Institute of Technology,22342,0.5117085863,,
3793,Lower Columbia College,14682.5,0.3441894893,,
3794,BJ's Beauty & Barber College,11393,0.6470588235,,
3795,BJ's Beauty & Barber College,18000,0.298245614,,
3796,North Seattle College,18408,PrivacySuppressed,,
3797,Northwest University,46713.5,0.6572580645,1061.0,23.0
3798,Olympic College,18989,0.3793985925,,
3799,Perry Technical Institute,27537,0.6162018592,,
3800,Pacific Lutheran University,59189,0.7540181691,1116.0,25.0
3801,Peninsula College,14857.5,0.3552631579,,
3802,University of Puget Sound,90104.5,0.8176733781,,
3803,Renton Technical College,17837,0.5317577548,,
3804,Saint Martin's University,41889,0.6633333333,1029.0,23.0
3805,South Seattle College,17191,,,
3806,Seattle Central College,15512.5,0.3417721519,,
3807,Seattle Pacific University,62276,0.7880247763,1108.0,24.0
3808,Seattle University,74787.5,0.775256618,1208.0,28.0
3809,Shoreline Community College,21253,0.4845434939,,
3810,Skagit Valley College,22051,0.4441687345,,
3811,South Puget Sound Community College,18874.5,0.4226305609,,
3812,Spokane Community College,20691,0.3540252182,,
3813,Spokane Falls Community College,23411,0.3692722372,,
3814,Stylemaster College of Hair Design,9968,0.2243589744,,
3815,Tacoma Community College,21692,0.3537366548,,
3816,Walla Walla Community College,23492,0.4352660842,,
3817,Walla Walla University,65228.5,0.7188328912,1074.0,24.0
3818,Washington State University,44850,0.7207013227,1054.0,23.0
3819,University of Washington-Seattle Campus,39205,0.7903764139,1266.0,29.0
3820,Wenatchee Valley College,23128,0.393442623,,
3821,Western Washington University,51312,0.7431506849,1122.0,26.0
3822,Whatcom Community College,19256,0.4430929626,,
3823,Whitman College,98863,0.9298245614,1324.0,30.0
3824,Whitworth University,63155,0.7342465753,1143.0,26.0
3825,Yakima Valley College,23450.5,0.3969716919,,
3826,Alderson Broaddus University,50174,0.6152173913,963.0,21.0
3827,Appalachian Beauty School,11555,PrivacySuppressed,,
3828,Appalachian Bible College,41816.5,0.8292682927,899.0,19.0
3829,B M Spurr School of Practical Nursing,14407,,,
3830,Ben Franklin Career Center,10926.5,,,
3831,Bethany College,50433,0.5314814815,920.0,20.0
3832,Bluefield State College,26625,0.3204724409,935.0,20.0
3833,Cabell County Career Technology Center,17943,,,
3834,Charleston School of Beauty Culture,11120.5,0.3035714286,,
3835,University of Charleston,44569.5,0.5206508135,971.0,21.0
3836,Clarksburg Beauty Academy and School of Massage Therapy,6409,0.2878787879,,
3837,Concord University,33025,0.4786628734,972.0,21.0
3838,Davis & Elkins College,40924,0.5528089888,954.0,20.0
3839,Fairmont State University,41285,0.4459717449,962.0,21.0
3840,Glenville State College,28906,0.3493699885,901.0,19.0
3841,Huntington Junior College,5134,0.197044335,,
3842,James Rumsey Technical Institute,17358,,,
3843,Ralph R Willis Career and Technical Center,13561.5,,,
3844,Marshall University,41378,0.4232300885,1010.0,22.0
3845,Mercer County Technical Education Center,16083,,,
3846,Meredith Manor International Equestrian Center,32463,0.5931034483,,
3847,Monongalia County Technical Education Center,17246,,,
3848,Morgantown Beauty College Inc,26604,0.3904761905,,
3849,Mountain State College,4012.5,0.112,,
3850,Opportunities Industrialization Center,13118,0.3229813665,,
3851,Ohio Valley University,42954,0.5122807018,966.0,21.0
3852,West Virginia University at Parkersburg,25133.5,0.3395127119,,
3853,Potomac State College of West Virginia University,60096,0.5825636192,,
3854,Academy of Careers and Technology,17064.5,,,
3855,Salem International University,19775,0.2747688243,,
3856,Shepherd University,46435,0.503507014,994.0,22.0
3857,Southern West Virginia Community and Technical College,14324,0.4024390244,,
3858,Fred W Eberle Technical Center,19418,,,
3859,West Virginia School of Osteopathic Medicine,,PrivacySuppressed,,
3860,West Virginia State University,30715,0.3635087719,927.0,20.0
3861,West Virginia University Hospital Departments of Rad Tech and Nutrition,46069,PrivacySuppressed,,
3862,West Liberty University,45145,0.5026256564,965.0,21.0
3863,West Virginia University Institute of Technology,60096,0.5825636192,1000.0,22.0
